Local time,Open,High,Low,Close,Volume
26.01.2017 01:00:00.000 GMT+0100,64.110,64.530,63.550,64.230,23766435.6232
27.01.2017 01:00:00.000 GMT+0100,65.360,65.900,64.880,65.750,24470262.5275
30.01.2017 01:00:00.000 GMT+0100,65.610,65.770,64.800,65.110,43551876.0681
31.01.2017 01:00:00.000 GMT+0100,64.830,65.140,64.260,64.640,39948333.7402
01.02.2017 01:00:00.000 GMT+0100,64.350,64.510,63.470,63.520,26350149.1547
02.02.2017 01:00:00.000 GMT+0100,63.260,63.380,62.750,63.107,32758262.6343
03.02.2017 01:00:00.000 GMT+0100,63.485,63.690,63.070,63.666,34443450.9277
06.02.2017 01:00:00.000 GMT+0100,63.458,63.640,63.136,63.606,26679265.976
07.02.2017 01:00:00.000 GMT+0100,63.696,63.767,63.230,63.405,29011386.8713
08.02.2017 01:00:00.000 GMT+0100,63.565,63.720,63.220,63.309,23216566.0858
09.02.2017 01:00:00.000 GMT+0100,63.396,64.430,63.316,64.038,23662006.3782
10.02.2017 01:00:00.000 GMT+0100,64.230,64.290,63.978,63.978,19297357.5592
13.02.2017 01:00:00.000 GMT+0100,64.226,64.850,64.120,64.699,19428678.5126
14.02.2017 01:00:00.000 GMT+0100,64.483,64.700,64.020,64.559,26395877.8381
15.02.2017 01:00:00.000 GMT+0100,64.455,64.560,64.159,64.516,21309547.4243
16.02.2017 01:00:00.000 GMT+0100,64.719,65.230,64.440,64.508,25320697.7844
17.02.2017 01:00:00.000 GMT+0100,64.458,64.680,64.300,64.598,16962585.4492
21.02.2017 01:00:00.000 GMT+0100,64.600,64.940,64.445,64.448,21017055.5115
22.02.2017 01:00:00.000 GMT+0100,64.316,64.380,64.059,64.317,15497374.5346
23.02.2017 01:00:00.000 GMT+0100,64.395,64.720,64.190,64.608,21386251.4496
24.02.2017 01:00:00.000 GMT+0100,64.477,64.790,64.140,64.589,26811958.313
27.02.2017 01:00:00.000 GMT+0100,64.395,64.430,64.040,64.209,20612369.5374
28.02.2017 01:00:00.000 GMT+0100,64.109,64.170,63.760,63.969,18084274.292
01.03.2017 01:00:00.000 GMT+0100,64.137,64.990,64.020,64.897,25623569.4885
02.03.2017 01:00:00.000 GMT+0100,64.678,64.710,63.880,63.979,17108573.9136
03.03.2017 01:00:00.000 GMT+0100,63.876,64.270,63.620,64.216,19897821.4264
06.03.2017 01:00:00.000 GMT+0100,63.955,64.550,63.805,64.267,15481484.4131
07.03.2017 01:00:00.000 GMT+0100,64.190,64.770,64.190,64.378,19164722.4426
08.03.2017 01:00:00.000 GMT+0100,64.256,65.080,64.236,64.968,17784845.3522
09.03.2017 01:00:00.000 GMT+0100,65.118,65.168,64.479,64.729,23344120.0256
10.03.2017 01:00:00.000 GMT+0100,65.095,65.250,64.740,64.926,23652534.4849
13.03.2017 01:00:00.000 GMT+0100,65.019,65.189,64.697,64.780,137423599.2432
14.03.2017 01:00:00.000 GMT+0100,64.521,64.542,64.217,64.230,148544403.0762
15.03.2017 01:00:00.000 GMT+0100,64.478,64.920,64.250,64.716,26579875.946
16.03.2017 01:00:00.000 GMT+0100,64.739,64.750,64.305,64.619,23163534.1644
17.03.2017 01:00:00.000 GMT+0100,64.850,65.230,64.670,64.860,13500000
20.03.2017 01:00:00.000 GMT+0100,64.870,65.170,64.720,64.920,10359999.6567
21.03.2017 01:00:00.000 GMT+0100,65.160,65.490,64.130,64.210,31850000.3815
22.03.2017 01:00:00.000 GMT+0100,64.220,65.140,64.180,65.040,28989999.7711
23.03.2017 01:00:00.000 GMT+0100,64.850,65.220,64.760,64.860,30209999.0845
24.03.2017 01:00:00.000 GMT+0100,65.040,65.440,64.760,64.955,40597118.3777
27.03.2017 02:00:00.000 GMT+0200,64.620,65.210,64.350,65.088,36340000.1526
28.03.2017 02:00:00.000 GMT+0200,64.868,65.458,64.646,65.288,47799999.2371
29.03.2017 02:00:00.000 GMT+0200,65.106,65.490,64.936,65.457,35729999.5422
30.03.2017 02:00:00.000 GMT+0200,65.408,65.970,65.357,65.707,37830001.8311
31.03.2017 02:00:00.000 GMT+0200,65.649,66.180,65.447,65.868,29549999.2371
03.04.2017 02:00:00.000 GMT+0200,65.826,65.920,65.186,65.527,137555465.6982
04.04.2017 02:00:00.000 GMT+0200,65.359,65.800,65.277,65.725,131743728.6377
05.04.2017 02:00:00.000 GMT+0200,65.899,66.340,65.439,65.555,141891326.9043
06.04.2017 02:00:00.000 GMT+0200,65.587,66.049,65.476,65.728,144905578.6133
07.04.2017 02:00:00.000 GMT+0200,65.578,65.949,65.436,65.666,130262237.5488
10.04.2017 02:00:00.000 GMT+0200,65.759,65.810,65.356,65.499,127157730.1025
11.04.2017 02:00:00.000 GMT+0200,65.415,65.608,64.847,65.468,161598373.4131
12.04.2017 02:00:00.000 GMT+0200,65.409,65.499,65.106,65.199,139548690.7959
13.04.2017 02:00:00.000 GMT+0200,65.156,65.849,64.946,64.946,134783905.0293
17.04.2017 02:00:00.000 GMT+0200,65.025,65.479,65.006,65.446,114670181.2744
18.04.2017 02:00:00.000 GMT+0200,65.307,65.700,65.157,65.375,129095321.6553
19.04.2017 02:00:00.000 GMT+0200,65.588,65.706,64.876,64.997,133513305.6641
20.04.2017 02:00:00.000 GMT+0200,65.277,65.740,65.136,65.495,133515640.2588
21.04.2017 02:00:00.000 GMT+0200,65.447,66.689,65.447,66.367,140797668.457
24.04.2017 02:00:00.000 GMT+0200,67.375,67.650,67.098,67.519,132529266.3574
25.04.2017 02:00:00.000 GMT+0200,67.935,68.029,67.596,67.916,126668937.6831
26.04.2017 02:00:00.000 GMT+0200,68.067,68.300,67.616,67.816,140022964.4775
27.04.2017 02:00:00.000 GMT+0200,68.129,68.369,67.576,68.256,139200271.6064
28.04.2017 02:00:00.000 GMT+0200,68.768,69.097,67.695,68.459,141438171.3867
01.05.2017 02:00:00.000 GMT+0200,68.667,69.510,68.499,69.427,133491729.7363
02.05.2017 02:00:00.000 GMT+0200,69.688,69.699,69.126,69.279,128348999.0234
03.05.2017 02:00:00.000 GMT+0200,69.246,69.289,68.706,69.045,140506332.3975
04.05.2017 02:00:00.000 GMT+0200,69.000,69.059,68.637,68.779,128380493.1641
05.05.2017 02:00:00.000 GMT+0200,68.879,69.019,68.488,68.958,112155563.3545
08.05.2017 02:00:00.000 GMT+0200,68.989,69.047,68.416,68.916,109956520.0806
09.05.2017 02:00:00.000 GMT+0200,68.769,69.269,68.669,69.018,123437461.853
10.05.2017 02:00:00.000 GMT+0200,68.955,69.549,68.916,69.305,119422691.3452
11.05.2017 02:00:00.000 GMT+0200,68.316,68.719,68.118,68.438,128999526.9775
12.05.2017 02:00:00.000 GMT+0200,68.519,68.537,68.040,68.370,108717185.9741
15.05.2017 02:00:00.000 GMT+0200,68.129,68.469,67.567,68.418,122451385.498
16.05.2017 02:00:00.000 GMT+0200,68.237,69.439,68.159,69.399,123012367.2485
17.05.2017 02:00:00.000 GMT+0200,68.865,69.088,67.428,67.428,165437835.6934
18.05.2017 02:00:00.000 GMT+0200,67.359,68.119,67.138,67.687,162770217.8955
19.05.2017 02:00:00.000 GMT+0200,67.499,68.089,67.417,67.669,135952194.2139
22.05.2017 02:00:00.000 GMT+0200,67.628,68.460,67.497,68.429,113944412.2314
23.05.2017 02:00:00.000 GMT+0200,68.669,68.738,68.378,68.678,119950935.3638
24.05.2017 02:00:00.000 GMT+0200,68.855,68.857,68.446,68.747,110175689.6973
25.05.2017 02:00:00.000 GMT+0200,68.957,69.868,68.908,69.609,114847030.6396
26.05.2017 02:00:00.000 GMT+0200,69.748,70.209,69.508,69.917,115917350.769
30.05.2017 02:00:00.000 GMT+0200,69.747,70.399,69.747,70.368,121234596.2524
31.05.2017 02:00:00.000 GMT+0200,70.498,70.726,69.799,69.805,143990859.9854
01.06.2017 02:00:00.000 GMT+0200,70.225,70.609,69.456,70.088,122034721.3745
02.06.2017 02:00:00.000 GMT+0200,70.388,71.849,70.236,71.735,136173797.6074
05.06.2017 02:00:00.000 GMT+0200,71.938,72.878,71.797,72.246,119861953.7354
06.06.2017 02:00:00.000 GMT+0200,72.286,72.618,72.267,72.509,123418693.5425
