Local time,Open,High,Low,Close,Volume
31.12.2018 01:00:00.000 GMT+0100,101.352,102.422,100.503,101.599,105109954.834
02.01.2019 01:00:00.000 GMT+0100,99.563,101.763,98.982,101.138,125031471.2524
03.01.2019 01:00:00.000 GMT+0100,100.152,100.153,97.232,97.463,134576919.5557
04.01.2019 01:00:00.000 GMT+0100,99.743,102.532,98.962,101.932,114986213.6841
07.01.2019 01:00:00.000 GMT+0100,101.771,103.282,100.998,102.082,101964393.6157
08.01.2019 01:00:00.000 GMT+0100,103.163,103.992,101.732,102.872,103835937.5
09.01.2019 01:00:00.000 GMT+0100,103.753,104.883,103.262,104.322,96158546.4478
10.01.2019 01:00:00.000 GMT+0100,103.293,103.753,102.402,103.653,91110679.6265
11.01.2019 01:00:00.000 GMT+0100,103.292,103.412,101.652,102.781,87157806.3965
14.01.2019 01:00:00.000 GMT+0100,102.193,102.453,101.282,102.042,144273147.583
15.01.2019 01:00:00.000 GMT+0100,102.565,105.053,101.943,105.002,222827148.4375
16.01.2019 01:00:00.000 GMT+0100,105.313,106.272,104.973,105.392,199716690.0635
17.01.2019 01:00:00.000 GMT+0100,105.072,106.643,104.852,106.172,211486236.5723
18.01.2019 01:00:00.000 GMT+0100,107.492,107.913,105.943,107.712,224176116.9434
22.01.2019 01:00:00.000 GMT+0100,107.083,107.103,104.912,105.812,223046127.3193
23.01.2019 01:00:00.000 GMT+0100,106.112,107.053,105.362,106.762,255589492.7979
24.01.2019 01:00:00.000 GMT+0100,106.943,107.003,105.352,106.193,231785995.4834
25.01.2019 01:00:00.000 GMT+0100,107.213,107.902,106.623,107.132,164815277.0996
28.01.2019 01:00:00.000 GMT+0100,105.982,105.982,104.682,105.112,215824768.0664
29.01.2019 01:00:00.000 GMT+0100,104.852,104.992,102.182,102.963,189905654.9072
30.01.2019 01:00:00.000 GMT+0100,104.643,106.393,104.352,106.363,210303298.9502
31.01.2019 01:00:00.000 GMT+0100,103.812,105.232,103.202,104.383,192000366.2109
01.02.2019 01:00:00.000 GMT+0100,104.013,104.113,102.372,102.802,206853836.0596
04.02.2019 01:00:00.000 GMT+0100,103.102,105.803,103.092,105.803,170321624.7559
05.02.2019 01:00:00.000 GMT+0100,106.113,107.253,105.982,107.232,179377563.4766
06.02.2019 01:00:00.000 GMT+0100,107.012,107.013,105.552,106.093,175597961.4258
07.02.2019 01:00:00.000 GMT+0100,105.533,105.603,104.322,105.323,246840972.9004
08.02.2019 01:00:00.000 GMT+0100,104.392,105.793,104.392,105.772,210893325.8057
11.02.2019 01:00:00.000 GMT+0100,106.092,106.602,104.982,105.243,179997055.0537
12.02.2019 01:00:00.000 GMT+0100,106.263,107.143,105.502,106.903,158066986.084
13.02.2019 01:00:00.000 GMT+0100,107.462,107.793,106.732,106.803,159818115.2344
14.02.2019 01:00:00.000 GMT+0100,106.332,107.312,105.693,106.892,209085617.0654
15.02.2019 01:00:00.000 GMT+0100,107.833,108.313,107.382,108.212,194733810.4248
19.02.2019 01:00:00.000 GMT+0100,108.052,108.673,107.812,108.243,148347091.6748
20.02.2019 01:00:00.000 GMT+0100,108.012,108.012,106.312,107.183,193247253.418
21.02.2019 01:00:00.000 GMT+0100,107.172,109.483,106.902,109.462,164286056.5186
22.02.2019 01:00:00.000 GMT+0100,109.993,111.213,109.833,110.983,103230514.5264
25.02.2019 01:00:00.000 GMT+0100,111.683,112.193,111.293,111.549,67336463.9282
26.02.2019 01:00:00.000 GMT+0100,111.493,113.243,111.336,112.378,71237373.3521
27.02.2019 01:00:00.000 GMT+0100,111.683,112.373,110.902,112.173,74726638.7939
28.02.2019 01:00:00.000 GMT+0100,112.153,112.893,111.752,112.082,78526794.4336
01.03.2019 01:00:00.000 GMT+0100,112.902,113.031,111.682,112.552,105729125.9766
04.03.2019 01:00:00.000 GMT+0100,113.063,113.213,110.822,112.323,142202819.8242
05.03.2019 01:00:00.000 GMT+0100,112.402,112.403,111.252,111.682,100469779.9683
06.03.2019 01:00:00.000 GMT+0100,112.012,112.673,111.452,111.782,130961654.6631
07.03.2019 01:00:00.000 GMT+0100,111.412,111.563,109.882,110.382,238453765.8691
08.03.2019 01:00:00.000 GMT+0100,109.272,110.723,108.832,110.533,265690704.3457
11.03.2019 01:00:00.000 GMT+0100,112.743,112.963,112.492,112.852,98224571.228
12.03.2019 01:00:00.000 GMT+0100,113.035,114.003,112.662,113.622,234214721.6797
13.03.2019 01:00:00.000 GMT+0100,114.103,115.013,113.802,114.522,211445877.0752
14.03.2019 01:00:00.000 GMT+0100,114.513,115.213,114.362,114.603,249857421.875
15.03.2019 01:00:00.000 GMT+0100,115.443,117.263,114.702,115.932,221920074.4629
18.03.2019 01:00:00.000 GMT+0100,116.333,117.623,116.098,117.612,191750030.5176
19.03.2019 01:00:00.000 GMT+0100,118.043,118.463,117.022,117.732,220293624.8779
20.03.2019 01:00:00.000 GMT+0100,117.433,118.763,116.732,117.542,112912117.0044
21.03.2019 01:00:00.000 GMT+0100,117.313,120.405,117.103,120.402,87273880.0049
22.03.2019 01:00:00.000 GMT+0100,119.468,119.603,117.082,117.092,111380172.7295
25.03.2019 01:00:00.000 GMT+0100,116.712,118.033,116.352,117.688,112999938.9648
26.03.2019 01:00:00.000 GMT+0100,118.373,118.722,116.872,117.899,93205436.7065
27.03.2019 01:00:00.000 GMT+0100,117.993,118.233,115.542,116.783,107911018.3716
28.03.2019 01:00:00.000 GMT+0100,117.512,117.603,116.142,116.943,86775924.6826
29.03.2019 01:00:00.000 GMT+0100,118.232,118.283,116.982,117.913,84177940.3687
01.04.2019 02:00:00.000 GMT+0200,118.752,119.123,118.122,118.928,76663490.2954
02.04.2019 02:00:00.000 GMT+0200,119.203,119.493,118.542,119.193,72801536.5601
03.04.2019 02:00:00.000 GMT+0200,120.012,120.443,119.162,119.973,78119438.1714
04.04.2019 02:00:00.000 GMT+0200,120.133,120.243,118.392,119.368,103148971.5576
05.04.2019 02:00:00.000 GMT+0200,119.553,120.252,119.383,119.903,87042388.916
08.04.2019 02:00:00.000 GMT+0200,119.852,120.043,118.652,119.932,90315422.0581
09.04.2019 02:00:00.000 GMT+0200,118.732,119.563,118.732,119.343,84692596.4355
10.04.2019 02:00:00.000 GMT+0200,119.683,120.363,119.562,120.243,84162971.4966
11.04.2019 02:00:00.000 GMT+0200,120.602,120.872,119.942,120.332,79648712.1582
12.04.2019 02:00:00.000 GMT+0200,121.012,121.063,120.392,120.982,78783821.106
15.04.2019 02:00:00.000 GMT+0200,121.103,121.603,120.590,121.072,79244873.0469
16.04.2019 02:00:00.000 GMT+0200,121.672,121.672,120.122,120.802,72738998.4131
17.04.2019 02:00:00.000 GMT+0200,121.312,121.863,120.562,121.763,96242431.6406
18.04.2019 02:00:00.000 GMT+0200,122.203,123.512,121.322,123.387,83085182.1899
22.04.2019 02:00:00.000 GMT+0200,122.802,124.013,122.793,123.769,68226295.4712
23.04.2019 02:00:00.000 GMT+0200,124.133,125.513,123.852,125.473,80072425.8423
24.04.2019 02:00:00.000 GMT+0200,125.833,125.863,124.542,125.092,83922691.3452
25.04.2019 02:00:00.000 GMT+0200,130.192,131.383,128.861,129.103,76974487.3047
26.04.2019 02:00:00.000 GMT+0200,129.802,130.513,129.042,129.893,77079650.8789
29.04.2019 02:00:00.000 GMT+0200,129.952,130.202,129.372,129.752,60502532.959
30.04.2019 02:00:00.000 GMT+0200,129.983,130.713,129.412,130.562,66512908.9355
01.05.2019 02:00:00.000 GMT+0200,130.673,130.673,127.735,127.873,74645751.9531
02.05.2019 02:00:00.000 GMT+0200,128.193,128.202,125.532,126.223,91190238.9526
03.05.2019 02:00:00.000 GMT+0200,127.472,129.423,127.282,128.883,55958362.5793
06.05.2019 02:00:00.000 GMT+0200,126.443,128.572,126.162,128.180,54856903.0762
