Local time,Open,High,Low,Close,Volume
31.12.2021 01:00:00.000 GMT+0100,338.643,339.414,335.864,336.383,6150488281.25
03.01.2022 01:00:00.000 GMT+0100,336.004,337.834,329.783,334.753,7793795410.1563
04.01.2022 01:00:00.000 GMT+0100,334.723,335.384,326.134,329.153,9826652343.75
05.01.2022 01:00:00.000 GMT+0100,326.234,326.234,316.323,317.184,9962385742.1875
06.01.2022 01:00:00.000 GMT+0100,313.314,318.714,311.624,313.934,13317996093.75
07.01.2022 01:00:00.000 GMT+0100,314.603,316.504,310.123,314.243,11087399414.0625
10.01.2022 01:00:00.000 GMT+0100,310.003,314.694,304.763,314.454,12864169921.875
11.01.2022 01:00:00.000 GMT+0100,313.360,316.634,309.924,315.124,11295533203.125
12.01.2022 01:00:00.000 GMT+0100,319.783,323.434,317.103,318.403,11453174804.6875
13.01.2022 01:00:00.000 GMT+0100,320.903,321.004,304.023,305.154,12405291015.625
14.01.2022 01:00:00.000 GMT+0100,304.404,310.854,303.854,310.344,12065364257.8125
18.01.2022 01:00:00.000 GMT+0100,304.983,309.834,301.813,302.984,10863057617.1875
19.01.2022 01:00:00.000 GMT+0100,306.483,313.944,302.744,303.543,14341975585.9375
20.01.2022 01:00:00.000 GMT+0100,309.493,311.643,301.164,301.604,11518555664.0625
21.01.2022 01:00:00.000 GMT+0100,303.014,304.123,295.704,295.834,17180822265.625
24.01.2022 01:00:00.000 GMT+0100,292.183,296.853,276.113,296.333,17046597656.25
25.01.2022 01:00:00.000 GMT+0100,291.643,295.004,285.213,289.093,17594279296.875
26.01.2022 01:00:00.000 GMT+0100,308.303,308.544,293.123,297.003,15708956054.6875
27.01.2022 01:00:00.000 GMT+0100,303.004,307.114,297.953,300.134,19445833984.375
28.01.2022 01:00:00.000 GMT+0100,300.833,308.424,294.514,308.303,17222750000
31.01.2022 01:00:00.000 GMT+0100,309.193,312.404,306.423,311.124,14622359375
01.02.2022 01:00:00.000 GMT+0100,310.754,310.754,305.133,308.833,14857655273.4375
02.02.2022 01:00:00.000 GMT+0100,309.530,315.123,308.983,313.893,15662252929.6875
03.02.2022 01:00:00.000 GMT+0100,309.804,311.254,300.793,301.373,15738899414.0625
04.02.2022 01:00:00.000 GMT+0100,300.385,308.813,300.003,306.313,16629281250
07.02.2022 01:00:00.000 GMT+0100,306.193,307.844,299.914,301.204,14719944335.9375
08.02.2022 01:00:00.000 GMT+0100,301.624,305.564,299.993,304.614,15906151367.1875
09.02.2022 01:00:00.000 GMT+0100,309.994,311.944,307.433,311.193,12766990234.375
10.02.2022 01:00:00.000 GMT+0100,303.774,309.154,300.713,302.644,18704105468.75
11.02.2022 01:00:00.000 GMT+0100,303.504,304.314,294.304,295.014,18812578125
14.02.2022 01:00:00.000 GMT+0100,293.810,296.774,291.364,295.043,18210318359.375
15.02.2022 01:00:00.000 GMT+0100,300.084,300.814,297.103,300.574,12640479492.1875
16.02.2022 01:00:00.000 GMT+0100,298.474,300.884,293.694,299.934,13180269531.25
17.02.2022 01:00:00.000 GMT+0100,296.330,296.893,290.053,291.094,12362146484.375
18.02.2022 01:00:00.000 GMT+0100,293.694,293.814,286.323,287.824,16564841796.875
22.02.2022 01:00:00.000 GMT+0100,285.324,291.584,284.713,287.904,19432929687.5
23.02.2022 01:00:00.000 GMT+0100,290.954,291.724,280.123,280.633,18775052734.375
24.02.2022 01:00:00.000 GMT+0100,272.774,295.204,271.694,294.474,21724109375
25.02.2022 01:00:00.000 GMT+0100,295.008,297.654,291.693,297.543,17090787109.375
28.02.2022 01:00:00.000 GMT+0100,294.513,299.104,293.034,299.003,18762171875
01.03.2022 01:00:00.000 GMT+0100,296.593,299.994,292.203,295.273,19037316406.25
02.03.2022 01:00:00.000 GMT+0100,296.003,301.414,293.713,300.373,16266314453.125
03.03.2022 01:00:00.000 GMT+0100,303.504,303.504,294.083,295.974,16207550781.25
04.03.2022 01:00:00.000 GMT+0100,294.653,295.763,287.183,288.703,14944034179.6875
07.03.2022 01:00:00.000 GMT+0100,289.064,289.724,278.613,278.773,15766943359.375
08.03.2022 01:00:00.000 GMT+0100,278.364,283.983,270.013,276.233,22961195312.5
09.03.2022 01:00:00.000 GMT+0100,283.703,289.633,280.814,288.284,14192335937.5
10.03.2022 01:00:00.000 GMT+0100,283.124,286.654,280.634,285.744,15316560546.875
11.03.2022 01:00:00.000 GMT+0100,288.184,289.004,279.443,279.754,13543721679.6875
14.03.2022 01:00:00.000 GMT+0100,280.213,285.434,275.844,276.313,15763524414.0625
15.03.2022 01:00:00.000 GMT+0100,280.503,287.844,278.743,287.284,14683707031.25
16.03.2022 01:00:00.000 GMT+0100,289.370,294.584,283.244,294.413,15675042968.75
17.03.2022 01:00:00.000 GMT+0100,293.504,295.074,289.374,295.074,15128387695.3125
18.03.2022 01:00:00.000 GMT+0100,294.694,301.004,292.793,300.853,13181259765.625
21.03.2022 01:00:00.000 GMT+0100,298.993,300.154,294.914,299.374,14469537109.375
22.03.2022 01:00:00.000 GMT+0100,299.503,305.004,298.834,304.544,11184969726.5625
23.03.2022 01:00:00.000 GMT+0100,300.733,303.234,297.753,299.443,12090930664.0625
24.03.2022 01:00:00.000 GMT+0100,300.303,304.213,298.343,304.133,11812495117.1875
25.03.2022 01:00:00.000 GMT+0100,305.304,305.804,299.294,303.894,13861208007.8125
28.03.2022 02:00:00.000 GMT+0200,304.334,310.794,304.333,310.794,10575775390.625
29.03.2022 02:00:00.000 GMT+0200,314.003,315.833,309.084,315.440,13210161132.8125
30.03.2022 02:00:00.000 GMT+0200,313.743,315.974,311.593,313.983,10281224609.375
31.03.2022 02:00:00.000 GMT+0200,314.874,315.164,308.594,308.594,9884149414.0625
01.04.2022 02:00:00.000 GMT+0200,309.453,310.144,305.543,309.324,12329774414.0625
04.04.2022 02:00:00.000 GMT+0200,310.403,315.153,309.783,315.123,8836387695.3125
05.04.2022 02:00:00.000 GMT+0200,314.004,314.914,309.914,311.024,12887851562.5
06.04.2022 02:00:00.000 GMT+0200,305.203,307.023,296.743,299.264,16961609375
07.04.2022 02:00:00.000 GMT+0200,296.413,303.654,296.413,302.064,15893943359.375
08.04.2022 02:00:00.000 GMT+0200,300.704,301.143,296.303,297.153,13926740234.375
11.04.2022 02:00:00.000 GMT+0200,291.803,292.703,285.013,285.473,13526055664.0625
12.04.2022 02:00:00.000 GMT+0200,290.003,290.744,280.513,282.403,16099470703.125
