Local time,Open,High,Low,Close,Volume
02.01.2018 01:00:00.000 GMT+0100,86.502,86.502,85.512,85.932,64883789.0625
03.01.2018 01:00:00.000 GMT+0100,86.113,86.513,85.983,86.332,69153373.7183
04.01.2018 01:00:00.000 GMT+0100,86.673,87.663,86.592,87.113,72890563.9648
05.01.2018 01:00:00.000 GMT+0100,87.622,88.393,87.542,88.203,69943412.7808
08.01.2018 01:00:00.000 GMT+0100,88.163,88.583,87.612,88.242,68202713.0127
09.01.2018 01:00:00.000 GMT+0100,88.662,88.733,87.872,88.193,84109336.853
10.01.2018 01:00:00.000 GMT+0100,87.752,88.193,87.422,87.812,81208892.8223
11.01.2018 01:00:00.000 GMT+0100,87.982,88.093,87.262,88.043,64444641.1133
12.01.2018 01:00:00.000 GMT+0100,88.863,89.743,88.452,89.593,77400588.9893
16.01.2018 01:00:00.000 GMT+0100,90.373,90.792,88.093,88.372,107297309.8755
17.01.2018 01:00:00.000 GMT+0100,89.173,90.292,88.793,90.142,93257843.0176
18.01.2018 01:00:00.000 GMT+0100,89.813,90.673,89.813,90.123,91953338.623
19.01.2018 01:00:00.000 GMT+0100,90.142,90.623,89.672,90.002,83223670.9595
22.01.2018 01:00:00.000 GMT+0100,89.963,91.613,89.743,91.603,83130348.2056
23.01.2018 01:00:00.000 GMT+0100,91.842,92.312,91.543,91.933,94952575.6836
24.01.2018 01:00:00.000 GMT+0100,92.552,93.433,91.582,91.853,144923416.1377
25.01.2018 01:00:00.000 GMT+0100,92.452,93.243,91.942,92.332,119276794.4336
26.01.2018 01:00:00.000 GMT+0100,93.432,94.072,92.592,94.023,94330978.3936
29.01.2018 01:00:00.000 GMT+0100,95.423,95.473,93.762,93.873,122803474.4263
30.01.2018 01:00:00.000 GMT+0100,93.703,93.703,92.112,92.763,144762680.0537
31.01.2018 01:00:00.000 GMT+0100,93.822,95.402,93.522,95.373,136458389.2822
01.02.2018 01:00:00.000 GMT+0100,94.902,96.063,93.612,94.253,153778076.1719
02.02.2018 01:00:00.000 GMT+0100,93.682,93.883,91.673,92.003,162527862.5488
05.02.2018 01:00:00.000 GMT+0100,90.633,93.233,88.102,88.142,252269348.1445
06.02.2018 01:00:00.000 GMT+0100,86.922,91.483,85.263,91.353,341228149.4141
07.02.2018 01:00:00.000 GMT+0100,90.513,91.772,89.223,89.603,243319534.3018
08.02.2018 01:00:00.000 GMT+0100,89.773,89.892,84.892,84.892,331349975.5859
09.02.2018 01:00:00.000 GMT+0100,86.382,88.903,83.862,88.033,359316253.6621
12.02.2018 01:00:00.000 GMT+0100,88.752,89.793,87.933,89.192,215137435.9131
13.02.2018 01:00:00.000 GMT+0100,88.532,90.003,87.803,89.873,146766189.5752
14.02.2018 01:00:00.000 GMT+0100,88.603,90.983,88.502,90.852,165739746.0938
15.02.2018 01:00:00.000 GMT+0100,91.192,92.702,90.633,92.692,167251861.5723
16.02.2018 01:00:00.000 GMT+0100,92.552,93.503,91.822,91.973,195254287.7197
20.02.2018 01:00:00.000 GMT+0100,91.503,93.063,91.022,92.772,142869094.8486
21.02.2018 01:00:00.000 GMT+0100,93.042,93.362,91.532,91.553,37687492.3706
22.02.2018 01:00:00.000 GMT+0100,92.153,92.742,91.372,91.762,38872367.8589
23.02.2018 01:00:00.000 GMT+0100,92.733,94.072,92.382,94.072,28906814.5752
26.02.2018 01:00:00.000 GMT+0100,94.403,95.443,94.352,95.443,27473289.4897
27.02.2018 01:00:00.000 GMT+0100,95.753,95.833,94.262,94.262,39472236.6333
28.02.2018 01:00:00.000 GMT+0100,94.862,95.713,93.873,93.942,40630966.1865
01.03.2018 01:00:00.000 GMT+0100,94.082,94.583,91.852,92.853,99149642.9443
02.03.2018 01:00:00.000 GMT+0100,91.602,93.113,90.882,92.802,66322349.5483
05.03.2018 01:00:00.000 GMT+0100,92.452,94.283,92.322,93.643,35087837.2192
06.03.2018 01:00:00.000 GMT+0100,94.393,94.473,92.962,93.243,30914813.9954
07.03.2018 01:00:00.000 GMT+0100,93.203,93.953,92.443,93.862,29672988.8916
08.03.2018 01:00:00.000 GMT+0100,94.302,95.103,93.782,94.383,29337957.3822
09.03.2018 01:00:00.000 GMT+0100,95.303,96.443,95.012,96.422,31498218.5364
12.03.2018 01:00:00.000 GMT+0100,96.562,97.233,96.072,96.792,29921588.8977
13.03.2018 01:00:00.000 GMT+0100,97.113,97.242,93.982,94.412,33935520.1721
14.03.2018 01:00:00.000 GMT+0100,95.142,95.413,93.732,93.873,36192855.835
15.03.2018 01:00:00.000 GMT+0100,93.603,94.583,92.842,94.192,25378143.3105
16.03.2018 01:00:00.000 GMT+0100,94.752,95.383,93.942,94.453,28187921.524
19.03.2018 01:00:00.000 GMT+0100,93.782,93.852,92.113,92.923,39968452.4536
20.03.2018 01:00:00.000 GMT+0100,93.083,93.773,93.022,93.132,27414693.8324
