Local time,Open,High,Low,Close,Volume
31.12.2020 01:00:00.000 GMT+0100,222.002,223.013,219.692,222.513,487883375000
04.01.2021 01:00:00.000 GMT+0100,222.363,222.492,214.862,217.833,1101040750000
05.01.2021 01:00:00.000 GMT+0100,217.652,218.553,215.852,217.902,599778812500
06.01.2021 01:00:00.000 GMT+0100,213.002,216.503,211.972,212.242,1021575312500
07.01.2021 01:00:00.000 GMT+0100,214.072,219.353,213.732,218.302,320718187500
08.01.2021 01:00:00.000 GMT+0100,219.002,220.573,217.042,219.682,8739019531.25
11.01.2021 01:00:00.000 GMT+0100,218.493,218.923,216.752,217.642,7995520507.8125
12.01.2021 01:00:00.000 GMT+0100,216.782,217.133,213.322,214.892,7199422851.5625
13.01.2021 01:00:00.000 GMT+0100,214.308,216.782,213.990,216.462,5877710449.2188
14.01.2021 01:00:00.000 GMT+0100,216.253,217.483,212.742,213.222,6459717773.4375
15.01.2021 01:00:00.000 GMT+0100,213.882,214.543,212.062,212.653,8195736328.125
19.01.2021 01:00:00.000 GMT+0100,214.002,216.993,212.652,216.383,5698936523.4375
20.01.2021 01:00:00.000 GMT+0100,218.112,225.803,217.323,224.362,6369303710.9375
21.01.2021 01:00:00.000 GMT+0100,224.852,226.313,222.452,224.952,5559280761.7188
22.01.2021 01:00:00.000 GMT+0100,227.392,230.073,225.832,225.922,6068205078.125
25.01.2021 01:00:00.000 GMT+0100,229.543,229.793,224.292,229.463,9231055664.0625
26.01.2021 01:00:00.000 GMT+0100,231.952,234.193,230.102,232.652,7241328125
27.01.2021 01:00:00.000 GMT+0100,238.063,240.453,230.153,233.172,11688377929.6875
28.01.2021 01:00:00.000 GMT+0100,235.692,242.663,235.132,238.823,9452855468.75
29.01.2021 01:00:00.000 GMT+0100,236.592,238.013,231.392,232.243,13091822265.625
01.02.2021 01:00:00.000 GMT+0100,235.502,242.503,232.513,239.503,8702972656.25
02.02.2021 01:00:00.000 GMT+0100,241.593,242.373,238.712,239.482,5964343261.7188
03.02.2021 01:00:00.000 GMT+0100,239.883,245.093,239.313,243.003,6057309082.0313
04.02.2021 01:00:00.000 GMT+0100,243.452,243.903,240.373,242.093,5284982421.875
05.02.2021 01:00:00.000 GMT+0100,242.333,243.313,240.462,242.232,5021517578.125
08.02.2021 01:00:00.000 GMT+0100,243.412,243.752,240.832,242.512,4627071289.0625
09.02.2021 01:00:00.000 GMT+0100,242.152,244.783,241.442,243.783,3712074218.75
10.02.2021 01:00:00.000 GMT+0100,245.003,245.952,240.922,242.892,7882141601.5625
11.02.2021 01:00:00.000 GMT+0100,244.993,245.173,242.203,244.512,5919511230.4688
12.02.2021 01:00:00.000 GMT+0100,244.603,245.282,242.772,245.053,4076442382.8125
16.02.2021 01:00:00.000 GMT+0100,245.302,246.143,242.932,243.672,6115082031.25
17.02.2021 01:00:00.000 GMT+0100,242.003,244.343,240.973,244.293,5188851074.2188
18.02.2021 01:00:00.000 GMT+0100,242.502,243.993,240.892,243.853,5654899902.3438
19.02.2021 01:00:00.000 GMT+0100,243.952,243.953,240.203,241.033,7419927734.375
22.02.2021 01:00:00.000 GMT+0100,237.853,237.942,232.413,234.762,9024527343.75
23.02.2021 01:00:00.000 GMT+0100,230.492,234.843,228.812,233.312,13682079101.5625
24.02.2021 01:00:00.000 GMT+0100,230.283,235.203,229.022,234.543,11238875976.5625
25.02.2021 01:00:00.000 GMT+0100,232.233,234.603,227.912,229.072,16263279296.875
26.02.2021 01:00:00.000 GMT+0100,231.702,235.363,229.583,232.372,14254051757.8125
01.03.2021 01:00:00.000 GMT+0100,236.242,237.483,233.183,237.063,6865750000
02.03.2021 01:00:00.000 GMT+0100,237.432,237.433,233.483,234.592,9969961914.0625
03.03.2021 01:00:00.000 GMT+0100,232.612,233.602,227.302,227.533,13116728515.625
04.03.2021 01:00:00.000 GMT+0100,226.983,232.512,224.282,226.893,18015853515.625
05.03.2021 01:00:00.000 GMT+0100,229.662,233.283,226.522,231.693,18152380859.375
08.03.2021 01:00:00.000 GMT+0100,231.703,233.383,227.153,227.502,17217503906.25
09.03.2021 01:00:00.000 GMT+0100,232.882,235.402,231.813,233.762,10475503906.25
10.03.2021 01:00:00.000 GMT+0100,237.042,237.042,232.063,232.483,15730377929.6875
11.03.2021 01:00:00.000 GMT+0100,234.902,239.173,234.553,237.353,10141305664.0625
12.03.2021 01:00:00.000 GMT+0100,234.603,235.932,233.232,235.932,10348002929.6875
15.03.2021 01:00:00.000 GMT+0100,235.072,235.443,231.823,234.812,8768028320.3125
16.03.2021 01:00:00.000 GMT+0100,237.002,240.063,235.992,237.773,10812305664.0625
17.03.2021 01:00:00.000 GMT+0100,236.162,238.563,233.252,237.192,13154681640.625
18.03.2021 01:00:00.000 GMT+0100,232.722,234.203,230.342,230.772,12446301757.8125
19.03.2021 01:00:00.000 GMT+0100,231.662,232.513,229.352,229.912,11875031250
22.03.2021 01:00:00.000 GMT+0100,230.932,236.912,230.633,236.052,8911500000
23.03.2021 01:00:00.000 GMT+0100,237.593,241.073,237.082,237.562,10607500000
24.03.2021 01:00:00.000 GMT+0100,238.703,238.703,235.332,235.502,12484955078.125
25.03.2021 01:00:00.000 GMT+0100,235.702,236.952,231.582,232.363,14792059570.3125
26.03.2021 01:00:00.000 GMT+0100,232.502,236.713,231.643,236.533,12690827148.4375
29.03.2021 02:00:00.000 GMT+0200,237.002,237.002,231.913,235.282,12624729492.1875
30.03.2021 02:00:00.000 GMT+0200,233.693,233.972,231.113,232.523,9486427734.375
31.03.2021 02:00:00.000 GMT+0200,232.842,239.102,232.413,236.292,8040829589.8438
01.04.2021 02:00:00.000 GMT+0200,238.653,242.643,238.063,242.382,6279016601.5625
05.04.2021 02:00:00.000 GMT+0200,242.902,249.973,242.743,249.052,7129932617.1875
06.04.2021 02:00:00.000 GMT+0200,247.763,249.403,246.912,247.882,7421471191.4063
07.04.2021 02:00:00.000 GMT+0200,248.123,250.933,247.193,249.952,7063675292.9688
08.04.2021 02:00:00.000 GMT+0200,252.982,254.153,252.022,253.333,5472216796.875
09.04.2021 02:00:00.000 GMT+0200,253.003,256.003,252.462,255.903,5777716796.875
12.04.2021 02:00:00.000 GMT+0200,255.132,257.683,254.662,255.953,6995666015.625
13.04.2021 02:00:00.000 GMT+0200,257.293,259.203,256.842,258.493,6274722656.25
